text,label
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is.,Availability Heuristic
"We've poured significant political capital into {project}, we have to consult an expert now or it's all wasted. This needs careful consideration.",Sunk Cost Fallacy
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"After hearing about the recent merger from {person}, I'm really confident it could happen to us.",Availability Heuristic
Market research indicates potential challenges in {topic}.,Neutral
The current budget allocation for the international expansion is {number}.,Neutral
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
"I know Project Phoenix is struggling, but think of the years of effort invested. Let's add more resources.",Sunk Cost Fallacy
"That one vivid example of the legacy system failing makes me hesitant, despite the stats.",Availability Heuristic
We're pot-committed to AI ethics after spending {amount}.,Sunk Cost Fallacy
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Ignoring the contradictory results, the overall picture confirms my view on {topic}. This needs careful consideration.",Confirmation Bias
Let's analyze the feedback received regarding {product}.,Neutral
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}. Let's discuss this further.,Availability Heuristic
The agenda includes reviewing investment strategy and planning for {event}.,Neutral
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"My assessment is that The initial projection was {number}. Even though things changed, it's hard to ignore that figure. What do you think?",Anchoring Bias
Let's analyze the feedback received regarding {product}.,Neutral
"My assessment is that Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"As Bob and I suspected, customer retention is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"As the new hire and I suspected, product viability is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"We've poured $20k and three months into {project}, we have to gather more data now or it's all wasted.",Sunk Cost Fallacy
"As the new hire and I suspected, market share is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"Compared to the list price of {number}, the discount makes the legacy system seem like a bargain. What do you think?",Anchoring Bias
I specifically looked for information proving AI ethics and found plenty.,Confirmation Bias
Remembering {person}'s story about AI ethics makes this seem more likely than it probably is.,Availability Heuristic
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
My assessment is that I specifically looked for information proving AI ethics and found plenty.,Confirmation Bias
"As our client and I suspected, team performance is {opinion}. The evidence we gathered supports this.",Confirmation Bias
Please review the document outlining the strategy for {product}.,Neutral
"They mentioned Q3 targets first, so anything around that feels acceptable for {project}.",Anchoring Bias
"Ignoring the contradictory results, the overall picture confirms my view on {topic}. This needs careful consideration.",Confirmation Bias
The quarterly report shows a 500 users change in {topic}.,Neutral
"I know our main initiative is struggling, but think of the the initial seed funding invested. Let's add more resources.",Sunk Cost Fallacy
"After hearing about last year's conference from {person}, I'm really skeptical it could happen to us.",Availability Heuristic
Market research indicates potential challenges in {topic}.,Neutral
Let's analyze the feedback received regarding {product}.,Neutral
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Thinking about it, This new data perfectly aligns with my hypothesis about {topic}.",Confirmation Bias
We're pot-committed to investment strategy after spending {amount}.,Sunk Cost Fallacy
Market research indicates potential challenges in {topic}.,Neutral
"My first impression, based on the Q3 targets figure, strongly influences my view of {topic}.",Anchoring Bias
"Based on the discussion, Remembering {person}'s story about product viability makes this seem more likely than it probably is. Let's discuss this further.",Availability Heuristic
"My first impression, based on the $75,000 figure, strongly influences my view of {topic}.",Anchoring Bias
"As Bob and I suspected, investment strategy is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
"My first impression, based on the 1.5 million figure, strongly influences my view of {topic}.",Anchoring Bias
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
The agenda includes reviewing product viability and planning for {event}.,Neutral
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Thinking about it, Remembering {person}'s story about investment strategy makes this seem more likely than it probably is.",Availability Heuristic
"My assessment is that That one vivid example of the legacy system failing makes me hesitant, despite the stats. This needs careful consideration.",Availability Heuristic
I'm excited that the analysis validated what I already believed regarding {project}.,Confirmation Bias
Let's focus on the data points that reinforce our belief in {product}'s success.,Confirmation Bias
"We've poured the initial seed funding into {project}, we have to pivot our strategy now or it's all wasted.",Sunk Cost Fallacy
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"As the CEO and I suspected, market share is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"We've poured a huge amount of resources into {project}, we have to consult an expert now or it's all wasted.",Sunk Cost Fallacy
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
News about AI ethics is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"I know the international expansion is struggling, but think of the the initial seed funding invested. Let's add more resources.",Sunk Cost Fallacy
Person presented the findings on {topic}.,Neutral
"My assessment is that They mentioned six figures first, so anything around that feels acceptable for {project}. What do you think?",Anchoring Bias
"My first impression, based on the six figures figure, strongly influences my view of {topic}.",Anchoring Bias
"My first impression, based on the 1.5 million figure, strongly influences my view of {topic}. What do you think?",Anchoring Bias
News about investment strategy is everywhere lately; it's definitely the most important trend.,Availability Heuristic
"I know the website redesign is struggling, but think of the years of effort invested. Let's add more resources. What do you think?",Sunk Cost Fallacy
News about team performance is everywhere lately; it's definitely the most important trend.,Availability Heuristic
The current budget allocation for our main initiative is {number}.,Neutral
The team evaluated several options before recommending {action}.,Neutral
Person presented the findings on {topic}.,Neutral
Let's use six figures as the starting point for our discussion on {topic}. What do you think?,Anchoring Bias
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
This new data perfectly aligns with my hypothesis about {topic}.,Confirmation Bias
The quarterly report shows Q3 targets change in {topic}.,Neutral
News about investment strategy is everywhere lately; it's definitely the most important trend.,Availability Heuristic
This new data perfectly aligns with my hypothesis about {topic}.,Confirmation Bias
"I know the website redesign is struggling, but think of the significant political capital invested. Let's add more resources.",Sunk Cost Fallacy
"Given the the overtime hours already expended on {product}, abandoning it isn't an option.",Sunk Cost Fallacy
Please review the document outlining the strategy for {product}.,Neutral
Data collection for our main initiative is ongoing as per the timeline.,Neutral
"That one vivid example of the competitor's offering failing makes me hesitant, despite the stats.",Availability Heuristic
"Based on the discussion, Let's use six figures as the starting point for our discussion on {topic}. This needs careful consideration.",Anchoring Bias
I'm disappointed that the analysis validated what I already believed regarding {project}.,Confirmation Bias
Let's use 1.5 million as the starting point for our discussion on {topic}.,Anchoring Bias
The current budget allocation for the international expansion is {number}.,Neutral
Please review the document outlining the strategy for {product}.,Neutral
"Based on the discussion, I'm confident that the analysis validated what I already believed regarding {project}.",Confirmation Bias
The current budget allocation for our main initiative is {number}.,Neutral
Person presented the findings on {topic}.,Neutral
The quarterly report shows 1.5 million change in {topic}.,Neutral
"After hearing about the budget cut from {person}, I'm really skeptical it could happen to us.",Availability Heuristic
"My first impression, based on the 20% figure, strongly influences my view of {topic}.",Anchoring Bias
Let's use Q3 targets as the starting point for our discussion on {topic}.,Anchoring Bias
"Thinking about it, I specifically looked for information proving AI ethics and found plenty. Let's discuss this further.",Confirmation Bias
"My first impression, based on the Q3 targets figure, strongly influences my view of {topic}.",Anchoring Bias
Please review the document outlining the strategy for {product}.,Neutral
"I know Project Phoenix is struggling, but think of the the initial seed funding invested. Let's add more resources.",Sunk Cost Fallacy
My assessment is that Let's use six figures as the starting point for our discussion on {topic}. Let's discuss this further.,Anchoring Bias
"As Bob and I suspected, AI ethics is {opinion}. The evidence we gathered supports this.",Confirmation Bias
My assessment is that It feels wrong to stop Project Phoenix after all the {effort}. We need to justify the initial decision. Let's discuss this further.,Sunk Cost Fallacy
"Ignoring the contradictory results, the overall picture confirms my view on {topic}.",Confirmation Bias
"Based on the discussion, Let's use 20% as the starting point for our discussion on {topic}. What do you think?",Anchoring Bias
"That one vivid example of our new SaaS platform failing makes me hesitant, despite the stats.",Availability Heuristic
I'm skeptical that the analysis validated what I already believed regarding {project}. What do you think?,Confirmation Bias
"Since the competitor is valued at {number}, our own valuation should be in that ballpark.",Anchoring Bias
"Compared to the list price of {number}, the discount makes the legacy system seem like a bargain.",Anchoring Bias
"My gut feeling, likely influenced by the recent {event}, tells me to {action}.",Availability Heuristic
"We've poured the initial seed funding into {project}, we have to pivot our strategy now or it's all wasted.",Sunk Cost Fallacy
"They mentioned Q3 targets first, so anything around that feels acceptable for {project}.",Anchoring Bias
Person presented the findings on {topic}.,Neutral
Let's use six figures as the starting point for our discussion on {topic}.,Anchoring Bias
It feels wrong to stop the research phase after all the {effort}. We need to justify the initial decision. This needs careful consideration.,Sunk Cost Fallacy
"Person feels we must continue our main initiative because of the past {effort}, despite the poor outlook.",Sunk Cost Fallacy
"As the CEO and I suspected, market share is {opinion}. The evidence we gathered supports this.",Confirmation Bias
"As the CEO and I suspected, product viability is {opinion}. The evidence we gathered supports this.",Confirmation Bias
Let's analyze the feedback received regarding {product}.,Neutral
I'm confident that the analysis validated what I already believed regarding {project}.,Confirmation Bias
The team evaluated several options before recommending {action}.,Neutral
"We've poured significant political capital into {project}, we have to consult an expert now or it's all wasted.",Sunk Cost Fallacy
The quarterly report shows 1.5 million change in {topic}.,Neutral
"The initial projection was {number}. Even though things changed, it's hard to ignore that figure.",Anchoring Bias
News about investment strategy is everywhere lately; it's definitely the most important trend.,Availability Heuristic
I keep thinking about {event}; it must be a bigger risk than the data suggests for {project}.,Availability Heuristic
We need to schedule a meeting to discuss the next steps for {project}.,Neutral
